title,stars,teks
Wisata Aer Mata Ibu Arosbaya,1,kali nyuci bagasi tidak buka blasssssskotorrrrr bagasi kalau buka ketahuan kotor q tidak buka sekali nemeennnn
Wisata Aer Mata Ibu Arosbaya,5,matap
Wisata Aer Mata Ibu Arosbaya,5,peziarah ambil air langsung sumber nya yang lorong kebawah sebelah kiri pintu masuk kelestarian terjaga terawat pengunjung seramai
Wisata Aer Mata Ibu Arosbaya,3,bagus pengemis maksa sekali solusinya ditatap jangan bukapegang dompet abaikan saja
Wisata Aer Mata Ibu Arosbaya,5,kemarin kesana sayang tidak masuk karena halangan semoga kalau rombongan kesana lagimasih masuk langsung makamnya
Wisata Aer Mata Ibu Arosbaya,1,nya memiliki sejarah menarikdan disayang kurangnya penegasan pengemis pengemis menarik baju pengunjung memaksa uang
Wisata Aer Mata Ibu Arosbaya,1,pengemis memaksa menarik baju pengunjung
Wisata Aer Mata Ibu Arosbaya,1,malas lagi karena pngemisnya lumayan maksa kadang nyeloteh karena tempatny sekarang sepi pngunjung padahal rame kyak martajesah
Wisata Aer Mata Ibu Arosbaya,2,kejelekan malam waliyulloh bnyak iya pengemis
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah
Wisata Aer Mata Ibu Arosbaya,1,pengemis maksa
Wisata Aer Mata Ibu Arosbaya,1,pengemis maksa jd kapok lagi kesini mengecewakan naek gojek bonceng cedak dari turun bus bayar rb
Wisata Aer Mata Ibu Arosbaya,5,mengasyikkan
Wisata Aer Mata Ibu Arosbaya,1,
Wisata Aer Mata Ibu Arosbaya,5,view nya bagus sejuk
Wisata Aer Mata Ibu Arosbaya,5,keren
Wisata Aer Mata Ibu Arosbaya,1,pengemis memaksa buruk sekali gapunya etika
Wisata Aer Mata Ibu Arosbaya,5,wisata religi tapi tidak nyaman pengemisnya suka maksa
Wisata Aer Mata Ibu Arosbaya,5,padat
Wisata Aer Mata Ibu Arosbaya,5,arus baya yang keramat orang yang ngalap berkah
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah pemakaman terawat suasana yang syahdu kematian
Wisata Aer Mata Ibu Arosbaya,3,tempatnya bagus bersejarah pengemis mohon dirapikan pengemisnya pengunjung risih berziarah
Wisata Aer Mata Ibu Arosbaya,1,bagus parkir pengemis yang suka memaksa penziarah
Wisata Aer Mata Ibu Arosbaya,4,
Wisata Aer Mata Ibu Arosbaya,3,kotor terawat
Wisata Aer Mata Ibu Arosbaya,2,
Wisata Aer Mata Ibu Arosbaya,4,bagus ibu yang tukang
Wisata Aer Mata Ibu Arosbaya,1,nya bagusjalan nya sedikittapi orang paksaaawalaupun ditolak ngejar saja sampai gandengkalau tidak ngasih sampai mukul mukul nya tidak gimanatapi saja tidak ngenakkin pengunjung
Wisata Aer Mata Ibu Arosbaya,4,wisata religi kawasan pulau madura tempatnya terpencil pedalaman kampung asri sumber mata air jernih terkenal diminum langsung menyegarkan dipercaya menyembuhkan penyakit
Wisata Aer Mata Ibu Arosbaya,5,parkirnya
Wisata Aer Mata Ibu Arosbaya,5,salah wali perempuan madura
Wisata Aer Mata Ibu Arosbaya,5,
Wisata Aer Mata Ibu Arosbaya,5,religion sejuk
Wisata Aer Mata Ibu Arosbaya,4,wisata religi aer mata x ziarah makam madura khusus nya makam aer mata banyak yang menjual air mineral sumber yang tidak nyaman banyak pengemis maksa saran kesini jangan buka dompet mending sediakan uang receh pecahan yang
Wisata Aer Mata Ibu Arosbaya,5,nyaman dengan kehadiran peminta
Wisata Aer Mata Ibu Arosbaya,5,tempatnya bagus sayang pengemis peminta paksa bikin peziaroh gerah
Wisata Aer Mata Ibu Arosbaya,4,parkir bus luaspenjual makanan
Wisata Aer Mata Ibu Arosbaya,5,terjaga kesederhanaannya
Wisata Aer Mata Ibu Arosbaya,5,susana aura mencekam lurapalagi pas suro dtg kesana dimakam yang pekat auranya panglima ghoib yang berjaga malam nyai makam beliausilahkan dicoba wisata kesana lur
Wisata Aer Mata Ibu Arosbaya,5,air nya barokah dibawa pulang
Wisata Aer Mata Ibu Arosbaya,5,makam suri
Wisata Aer Mata Ibu Arosbaya,3,nya bersih akses jalannya perbaiki
Wisata Aer Mata Ibu Arosbaya,5,menyesap
Wisata Aer Mata Ibu Arosbaya,5,lokasinya ojek jalan parkir kendaraan nyaman bangrt memaksa
Wisata Aer Mata Ibu Arosbaya,5,tempatnya alami bersih
Wisata Aer Mata Ibu Arosbaya,5,semangat keislaman xouture
Wisata Aer Mata Ibu Arosbaya,5,batuan karang alami
Wisata Aer Mata Ibu Arosbaya,4,uang memaksamsak rokok di saku lansung di saut
Wisata Aer Mata Ibu Arosbaya,2,yang serem tapi kasihn kasih banyak yang bilng pengunjung jd tidak lgmaaf pengelola merhatiin
Wisata Aer Mata Ibu Arosbaya,1,saran bagus syarat sejarah disayangkan pengemis memintaminta pengunjung terkesan memaksa mentarget mohon untuk pengelola pemerintah desa memperhatikan halhal rame karena peziarah terkesan intervensi pengemis berdampak kunjungan mohon maaf terima kasih
