title,stars,teks
Wisata Aer Mata Ibu Arosbaya,1,baru pertama kali nyuci bagasi tidak di buka blasssssskotorrrrr bagasi kalau di buka jelas ketahuan kotor q yakin tidak di buka sekali nemeennnn
Wisata Aer Mata Ibu Arosbaya,5,matap
Wisata Aer Mata Ibu Arosbaya,5,untuk para peziarah jikalau mau ambil air bisa langsung di sumber nya yang ada di lorong kebawah sebelah kiri setelah pintu masuk pertama kelestarian masih tetap terjaga dan terawat meski pengunjung sekarang tidak seramai dulu
Wisata Aer Mata Ibu Arosbaya,3,tempat bagus tapi pengemis maksa sekali solusinya jangan ditatap jangan bukapegang dompet abaikan saja
Wisata Aer Mata Ibu Arosbaya,5,bulan kemarin kesana tapi sayang aku tidak bisa masuk karena halangan semoga kalau ada rombongan lagi kesana ikut lagimasih ingin masuk langsung ke makamnya
Wisata Aer Mata Ibu Arosbaya,1,tempat nya sebenarnya memiliki sejarah yang sangat menarikdan sangat disayang kan kurangnya penegasan terhadap pengemis sehingga banyak sekali pengemis sampai menarik baju pengunjung dan memaksa untuk memberikan uang
Wisata Aer Mata Ibu Arosbaya,1,banyak sekali pengemis di sana mereka minta secara memaksa dan menarik baju pengunjung
Wisata Aer Mata Ibu Arosbaya,1,malas balik lagi karena pngemisnya lumayan maksa kadang ada ibu nyeloteh mungkin karena ini tempatny sekarang sepi pngunjung padahal dulu rame kyak di martajesah
Wisata Aer Mata Ibu Arosbaya,2,kejelekan malam waliyulloh adalah bnyak iya pengemis
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah
Wisata Aer Mata Ibu Arosbaya,1,banyak pengemis maksa
Wisata Aer Mata Ibu Arosbaya,1,pengemis minta maksa jd kapok kembali lagi kesini mengecewakan naek gojek bonceng cedak dari turun bus bayar rb
Wisata Aer Mata Ibu Arosbaya,5,sangat mengasyikkan
Wisata Aer Mata Ibu Arosbaya,1,luar biasa
Wisata Aer Mata Ibu Arosbaya,5,view nya bagus sejuk
Wisata Aer Mata Ibu Arosbaya,5,keren
Wisata Aer Mata Ibu Arosbaya,1,banyak pengemis yang memaksa buruk sekali gapunya etika
Wisata Aer Mata Ibu Arosbaya,5,tempat wisata religi tapi tidak nyaman sama pengemisnya suka maksa
Wisata Aer Mata Ibu Arosbaya,5,padat
Wisata Aer Mata Ibu Arosbaya,5,arus baya tempat yang keramat banyak orang yang ngalap berkah
